ID,Type,SKU,Name,Published,Is featured?,Visibility in catalog,Short description,Description,Date sale price starts,Date sale price ends,Tax status,Tax class,In stock?,Stock,Low stock amount,Backorders allowed?,Sold individually?,Weight (kg),Length (cm),Width (cm),Height (cm),Allow customer reviews?,Purchase note,Sale price,Regular price,Categories,Tags,Shipping class,Images,Download limit,Download expiry days,Parent,Grouped products,Upsells,Cross-sells,External URL,Button text,Position
41121990967430,simple,,Anacleto Rey del Norte Accordion 6 Switch FBE/GCF Red Compact,1,0,visible,We present to you the Hohner Anacleto Rey del Norte series hand made in Ita,"We present to you the Hohner Anacleto Rey del Norte series hand made in Italy in red with a chrome grill in keys FBE and GCF and compact size. In creating the Anacleto Series, Hohner consulted with the world’s most famous artists to specifically address fingerboard dimensions, tactile feel, and smooth mechanism action for precise playing. Chat with us for special orders and get the best discounts, GUARANTEED! When it comes to Norteño, Vallenato, or Tex-Mex, the accordion is more than just an instrument amongst many. It’s the driving force, plays both rhythm and melody, and transports a lot of the emotions the lyrics can’t. The Rey del Norte III was designed specifically for this purpose, and transports the player’s character not just through its melodious sound, but also its outstanding looks. The Rey del Norte III is available in a compact (S) and larger (L) version to suit all types of professional accordionists. Having a wide variety of sounds to offer your music and melodies, you will find a great tool for your creativity that will allow you to express new ideas with different sounds using the 3 blocks of voices that includes your 5-switch accordion, in this way you can be original in your accordion sound. Artists like: Eduardo Hernandez of Los Tigres Del Norte commented when playing the new Anacleto Series “When I first placed my hand on the fingerboard, I could tell right away what I had in my hands without even playing it.”",,,taxable,,1,1,,0,0,,,,,1,,,"7,199.00",Anacleto,,,https://accordionproshop.com/cdn/shop/files/Anacleto-Rey-del-Norte-Accordion-6-Switch-FBEGCF-Red-Compact-accordion-www_hermesmusic_com_a0ebcf36-8c5a-4281-90ea-77679cef5ad8_1600x.jpg?v=1718404795,,,,,,,,,0
41027371597958,simple,,Anacleto Rey del Norte Acordeón 6 Registros FA/SOL Gris,1,0,visible,Les presentamos la serie Hohner Anacleto Rey del Norte hecha a mano en Ital,"Les presentamos la serie Hohner Anacleto Rey del Norte hecha a mano en Italia en color gris con parrilla cromada negra en teclas FBE y GCF y tamaño compacto. Al crear la serie Anacleto, Hohner consultó con los artistas más famosos del mundo para abordar específicamente las dimensiones del diapasón, la sensación táctil y la acción suave del mecanismo para tocar con precisión. Chatea con nosotros para pedidos especiales y obtén los mejores descuentos, ¡GARANTIZADOS! Cuando se trata de norteño, vallenato o tex-mex, el acordeón es más que un instrumento entre muchos. Es la fuerza motriz, toca ritmo y melodía y transporta muchas de las emociones que la letra no puede. El Rey del Norte III fue diseñado específicamente para este propósito y transporta el carácter del jugador no sólo a través de su melodioso sonido, sino también de su excelente apariencia. El Rey del Norte III está disponible en una versión compacta (S) y más grande (L) para adaptarse a todo tipo de acordeonistas profesionales. Al tener una gran variedad de sonidos para ofrecer tu música y melodías, encontrarás una gran herramienta para tu creatividad que te permitirá expresar nuevas ideas con diferentes sonidos utilizando los 4 bloques de voces que incluye tu acordeón de 6 interruptores, de esta manera puedes ser original en tu sonido de acordeón. Artistas como: Eduardo Hernandez de Los Tigres Del Norte comentaron al tocar la nueva Serie Anacleto “Cuando puse mi mano por primera vez en el diapasón, pude saber de inmediato lo que tenía en mis manos sin siquiera tocarlo”.",,,taxable,,1,1,,0,0,,,,,1,,,"6,777.00",Anacleto,,,https://accordionproshop.com/cdn/shop/files/Anacleto-Rey-del-Norte-Accordion-6-Switches-FBEGCF-Gray-accordion-www_hermesmusic_com_e7c39aa3-44ec-4b5c-a711-d4bb8e2a861b_1600x.jpg?v=1716506965,,,,,,,,,0
41027371532422,simple,,Anacleto Rey del Norte Acordeón 6 Registros FA/MI Blanco Compacto,1,0,visible,Les presentamos la serie Hohner Anacleto Rey del Norte hecha a mano en Ital,"Les presentamos la serie Hohner Anacleto Rey del Norte hecha a mano en Italia en color Blanco con parrilla cromada en teclas FBE y EAD y tamaño compacto. Al crear la serie Anacleto, Hohner consultó con los artistas más famosos del mundo para abordar específicamente las dimensiones del diapasón, la sensación táctil y la acción suave del mecanismo para tocar con precisión. Chatea con nosotros para pedidos especiales y obtén los mejores descuentos, ¡GARANTIZADOS! Cuando se trata de norteño, vallenato o tex-mex, el acordeón es más que un instrumento entre muchos. Es la fuerza motriz, toca ritmo y melodía y transporta muchas de las emociones que la letra no puede. El Rey del Norte III fue diseñado específicamente para este propósito y transporta el carácter del jugador no sólo a través de su melodioso sonido, sino también de su excelente apariencia. El Rey del Norte III está disponible en una versión compacta (S) y más grande (L) para adaptarse a todo tipo de acordeonistas profesionales. Al tener una gran variedad de sonidos para ofrecer tu música y melodías, encontrarás una gran herramienta para tu creatividad que te permitirá expresar nuevas ideas con diferentes sonidos utilizando los 3 bloques de voces que incluye tu acordeón de 5 interruptores, de esta manera puedes ser original en tu sonido de acordeón. Artistas como: Eduardo Hernandez de Los Tigres Del Norte comentaron al tocar la nueva Serie Anacleto “Cuando puse mi mano por primera vez en el diapasón, pude saber de inmediato lo que tenía en mis manos sin siquiera tocarlo”.",,,taxable,,1,1,,0,0,,,,,1,,,"6,777.00",Anacleto,,,https://accordionproshop.com/cdn/shop/files/Anacleto-Rey-del-Norte-Accordion-6-Switch-FBEGCF-White-Compact-accordion-www_hermesmusic_com_61789cb9-efb4-4580-9e30-e59bbec591fd_1600x.jpg?v=1716565225,,,,,,,,,0
41027370287238,simple,,Anacleto Rey Aguila Acordeón FA/SOL 6 Registors Azul Metálico,1,0,visible,Modelo 2017! El acordeón Anacleto REY AGUILA tiene un acabado de primera ca,"Modelo 2017! El acordeón Anacleto REY AGUILA tiene un acabado de primera calidad, hecho a mano con la mayor calidad disponible. Este modelo en teclas FBE y GCF, en Azul Metalizado con 6 interruptores, 3 por llave. Diseño artesanal con patrones de cristal y combinaciones de colores para adaptarse al gusto del artista y crear presencia escénica. La serie Anacleto tiene la mejor calidad de sonido en cada acordeón. En la creación de la Serie Anacleto, HOHNER consultó con los artistas más famosos del mundo para abordar específicamente las dimensiones de las teclas, la sensación táctil y la acción del mecanismo suave para una reproducción precisa. Todo elaborado 100% a mano. Los botones de gran calidad y con buena distancia entre sí. Este acordeón será tu favorito absoluto por su elegancia.",,,taxable,,1,1,,0,0,,,,,1,,,"6,888.00",Anacleto,,,https://accordionproshop.com/cdn/shop/files/Anacleto-Rey-Aguila-FBEEAD-6-Switches-Blue-Metallic-accordion-www_hermesmusic_com_c4bb2cab-e869-4a41-9afd-004a494074ac_1600x.jpg?v=1716505817,,,,,,,,,0
41027369304198,simple,,Anacleto Rey Aguila Acordeón 6 Registros FA/SOL Oro Cromo,1,0,visible,"El acordeón Anacleto REY AGUILA tiene un acabado de primerísima calidad, he","El acordeón Anacleto REY AGUILA tiene un acabado de primerísima calidad, hecho a mano con la mayor calidad disponible. Este modelo dispone de dos llaves FBE y GCF, en color Gold Chrome con 6 interruptores, 3 por llave. Diseño artesanal con patrones de cristal y combinaciones de colores para adaptarse al gusto del artista y crear presencia escénica. La serie Anacleto tiene la mejor calidad de sonido en cada acordeón. En la creación de la Serie Anacleto, HOHNER consultó con los artistas más famosos del mundo para abordar específicamente las dimensiones de las teclas, la sensación táctil y la acción del mecanismo suave para una reproducción precisa. Todos están hechos 100% a mano. Los botones de alta calidad y la buena distancia entre sí hacen de este un hallazgo único. Este acordeón será tu favorito absoluto por su elegancia.",,,taxable,,1,1,,0,0,,,,,1,,,"6,888.00",Anacleto,,,https://accordionproshop.com/cdn/shop/files/Anacleto-Rey-Aguila-Accordion-FBEEAD-6-Switches-Gold-Chrome-accordion-www_hermesmusic_com_107c22f9-5ac2-4b06-a611-dfd262bde1d6_1600x.jpg?v=1716572608,,,,,,,,,0
40744868151430,simple,,Anacleto El Italiano III Acordeón Ultra Compacto 5 Registros FA Plateado con Negro,1,0,visible,El acordeón Anacleto EL ITALIANO III tiene un acabado superior hecho a mano,"El acordeón Anacleto EL ITALIANO III tiene un acabado superior hecho a mano de la más alta calidad disponible. Este modelo es en clave FA, en Negro y Plateado con 5 registros, y un tamaño compacto. La serie Anacleto mantiene la mejor calidad de sonido en cada acordeón. Durante la creación de el modelo EL ITALIANO III , HOHNER presenta un acordeón más pequeño, compacto y con sonido distintivo que puede tocarse durante largos períodos. Este acordeón es tan compacto que se puede comparar en tamaño con un Corona II. En cuanto a las voces, en este modelo se utilizaron voces de Manetti. Están hechos a mano en Italia y son exclusivos de HOHNER. Estas voces le darán un estilo antiguo italiano a tu acordeón",,,taxable,,1,1,,0,0,,,,,1,,,"7,999.00",Anacleto,,,https://accordionproshop.com/cdn/shop/files/Anacleto-El-Italiano-III-Accordion-FBE-5-Switches-Black-with-Silver-accordion-www_hermesmusic_com_1600x.jpg?v=1715894959,,,,,,,,,0
40470161817734,simple,,Anacleto Rey Aguila Acordeón 6 Registros FA/SOL Azul Metálico,1,0,visible,"El acordeón Anacleto REY AGUILA tiene un acabado de primera calidad, hecho ","El acordeón Anacleto REY AGUILA tiene un acabado de primera calidad, hecho a mano con la mayor calidad disponible. Este modelo dispone de dos teclas FA y SOL, en color Azul Metalizado con 6 registros, 3 por tono. Diseño artesanal con patrones de cristal y combinaciones de colores para adaptarse al gusto del artista y crear presencia escénica. La serie Anacleto tiene la mejor calidad de sonido en cada acordeón. En la creación de la Serie Anacleto, HOHNER consultó con los artistas más famosos del mundo para abordar específicamente las dimensiones de las teclas, la sensación táctil y la acción del mecanismo suave para una reproducción precisa. Todo elaborado 100% a mano. La distancia entre botones de alta calidad y bien pensada hace esta acordeón unica. ¡Este elegante acordeón es el favorito del público!",,,taxable,,1,1,,0,0,,,,,1,,,"6,888.00",Anacleto,,,https://accordionproshop.com/cdn/shop/files/Anacleto-Rey-Aguila-Accordion-6-Switches-FBEGCF-Metallic-Blue-Accordions-Concertinas-www_hermesmusic_com_1600x.jpg?v=1715375071,,,,,,,,,0
40470116827270,simple,,Anacleto Rey Aguila Acordeón FA/SOL 6 Registros Negro,1,0,visible,"El acordeón Anacleto REY AGUILA tiene un acabado de primera calidad, hecho ","El acordeón Anacleto REY AGUILA tiene un acabado de primera calidad, hecho a mano con la mayor calidad disponible. Este modelo dispone de dos teclas FA y SOL, en color negro con 6 registros, 3 por tono. Diseño artesanal con patrones de cristal y combinaciones de colores para adaptarse al gusto del artista y crear presencia escénica. La serie Anacleto tiene la mejor calidad de sonido en cada acordeón. En la creación de la Serie Anacleto, HOHNER consultó con los artistas más famosos del mundo para abordar específicamente las dimensiones de las teclas, la sensación táctil y la acción del mecanismo suave para una reproducción precisa. Todo elaborado 100% a mano. La distancia entre botones de alta calidad y bien pensada. ¡Este elegante acordeón es el favorito del público!",,,taxable,,1,1,,0,0,,,,,1,,,"6,888.00",Anacleto,,,https://accordionproshop.com/cdn/shop/files/Anacleto-Rey-Aguila-Accordion-FBEGCF-6-Switch-Black-Accordions-Concertinas-www_hermesmusic_com_1600x.jpg?v=1715352944,,,,,,,,,0
40464281829510,simple,,Anacleto Latino III 34/48 Acordeón de Teclas 5 Registros Oro Holográfico,1,0,visible,Presentamos esta hermosa copia Hohner de la serie Anacleto con parrilla clá,"Presentamos esta hermosa copia Hohner de la serie Anacleto con parrilla clásica, tono y teclas planas cónicas. Al crear la serie Anacleto, HOHNER consultó con los artistas más famosos del mundo para abordar específicamente las dimensiones clave, la sensación táctil y el mecanismo de acción suave para una reproducción precisa. Chatea con nosotros para pedidos especiales y los mejores descuentos, ¡GARANTIZADOS! Este acordeón tiene 34 teclas de agudos y 48 botones de graves. Es perfecto para el músico profesional que trabaja tanto en el escenario como en el estudio de grabación y busca sonidos diferentes para cada melodía en una misma tonalidad. Con este acordeón de 5 interruptores siempre podrás tener una herramienta que te brinde una amplia variedad de sonidos en tu música. Tiene los diferentes sonidos: Maestro, Clarinete, Violín, Fagot y Bandón. Con un acabado de calidad superior, cada acordeón está hecho a mano con la más alta calidad disponible. Está hecho a mano y diseñado con patrones de cristal y combinaciones de colores para adaptarse al gusto del artista y crear presencia en el escenario. Este modelo es uno de los más completos porque cuenta con tres (3) bloques de voz en cada nota. Este modelo utiliza voces Cagnoni. Cada acordeón de la serie Anacleto tiene la mejor calidad de sonido. Es perfecto para el músico profesional que trabaja tanto en el escenario como en el estudio de grabación y busca sonidos diferentes para cada melodía en un mismo acordeón. Cada Anacleto viene con una caja de instrumentos forrada de terciopelo y un sistema de correa de cuero genuino. ¡Brilla como otros grandes acordeonistas con este hermoso Hohner Anacleto y crea un sonido diferente a tus melodías!",,,taxable,,1,1,,0,0,,,,,1,,,"6,888.00",Anacleto,,,https://accordionproshop.com/cdn/shop/files/Anacleto-Latino-III-Accordion-3448-5-Switch-Holographic-Gold-Accordion-Accordions-Concertinas-www_hermesmusic_com_1600x.jpg?v=1715894971,,,,,,,,,0
40174646329478,simple,,Anacleto Rey Aguila Acordeón 6 Registros FA/SOL Alfa Azul,1,0,visible,"The Anacleto REY AGUILA accordion has a top quality finish, handmade of the","The Anacleto REY AGUILA accordion has a top quality finish, handmade of the highest quality available. This model has two FBE and GCF keys, in ruby red with 6 switches, 3 per tone. Craft design with crystal patterns and color schemes to adapt to the artist's taste and create a stage presence. The Anacleto series has the finest sound quality in each accordion. In the creation of the Anacleto Series, HOHNER consulted with the most famous artists in the world to specifically address the dimensions of the keys, the tactile sensation and the action of the smooth mechanism for precise reproduction. All made 100% by hand. The high quality buttons and with good distance from each other. This accordion will be your absolute favorite for its elegance.",,,taxable,,1,1,,0,0,,,,,1,,,"6,888.00",Anacleto,,,https://accordionproshop.com/cdn/shop/files/Anacleto-Rey-Aguila-Accordion-6S-FBEGCF-Blue-Alpha-Glossy-accordion-www_hermesmusic_com_1600x.jpg?v=1714757712,,,,,,,,,0
